Run,Protocol,Size,Total Sending Time (microseconds)
482,BLE,41684,6177093
483,BLE,41684,5831297
484,BLE,41684,6251754
485,BLE,41684,6431960
486,BLE,41684,6311811
487,BLE,41684,6251124
488,BLE,41684,6070718
489,BLE,41684,5892009
490,BLE,41684,5764053
491,BLE,41684,5951093
492,BLE,41684,6664250
493,BLE,41684,6071329
494,BLE,41684,6310938
495,BLE,41684,6416860
496,BLE,41684,6416470
497,BLE,41684,6244550
498,BLE,41684,6131682
499,BLE,41684,6056513
500,BLE,41684,6229372
501,BLE,71676,14471344
502,BLE,71676,14471750
503,BLE,71676,13331366
504,BLE,71676,14097466
505,BLE,71676,13692529
506,BLE,71676,13571471
507,BLE,71676,13414097
508,BLE,71676,13684504
509,BLE,71676,14104376
510,BLE,71676,13736489
511,BLE,71676,13614879
512,BLE,71676,13556296
513,BLE,71676,13992055
514,BLE,71676,13668731
515,BLE,71676,13520292
516,BLE,71676,13573466
517,BLE,71676,13195592
518,BLE,71676,14156503
519,BLE,71676,14298863
520,BLE,71676,13729858
521,BLE,71676,14156475
522,BLE,71676,13617260
523,BLE,71676,13871391
524,BLE,71676,13009008
525,BLE,71676,14276203
526,BLE,71676,14291377
527,BLE,71676,13429192
528,BLE,71676,13548591
529,BLE,71676,14373130
530,BLE,71676,14509567
531,BLE,71676,14216954
532,BLE,71676,13623532
533,BLE,71676,13752606
534,BLE,71676,13450939
535,BLE,71676,13669256
536,BLE,71676,13931790
537,BLE,71676,14111112
538,BLE,71676,13691868
539,BLE,71676,13728362
540,BLE,71676,14471373
541,BLE,71676,13617012
542,BLE,71676,13871355
543,BLE,71676,14591683
544,BLE,71676,13849382
545,BLE,71676,13452025
546,BLE,71676,13631283
547,BLE,71676,13811435
548,BLE,71676,13511830
549,BLE,71676,13332262
550,BLE,71676,13811477
